Finnish-fi,Valence,Arousal,Dominance,English,Finnish-bf
ehkäisevä,0.286,-0.224,0.314,preventive,ehkäisevä
ehkäisevä,-0.688,0.334,0.17,prohibitive,ehkäisevä
ehkäistä,0.02,-0.224,-0.07,avert,ehkäistä
ehkäistä,-0.244,0.084,0.376,counteract,ehkäistä
ehkäisy,-0.408,0.036,0.05,contraception,ehkäisy
ehto,-0.164,-0.188,0.138,proviso,ehto
ehto,-0.062,0.244,0.308,stipulation,ehto
ehtyminen,-0.694,-0.26,-0.528,depletion,ehtyä
ehtymätön,0.204,0.082,0.286,inexhaustible,ehtymätön
eilen,0.0,-0.428,-0.494,yesterday,eilen
ei-tervetullut,-0.77,-0.04,-0.462,unwelcome,ei-tervetultu
ei-toivottu,-0.646,0.288,-0.48,undesirable,ei-toivottu
ei-toivottu,-0.646,0.092,-0.59,unwanted,ei-toivottu
ei-ääni,-0.312,-0.42,-0.35,nay,ei-ääni
eklektinen,0.292,0.084,0.016,eclectic,eklektinen
ekologinen,0.77,-0.42,0.214,ecological,ekologinen
ekosysteemi,0.458,-0.482,0.266,ecosystem,ekosysteemi
eksegeesi,-0.084,-0.056,-0.018,exegesis,eksegeesi
eksentrinen,0.062,0.612,0.442,eccentric,eksentrinen
eksentrisyys,-0.184,0.47,0.49,eccentricity,eksentrisyys
eksistentiaalinen,0.166,0.02,0.276,existential,eksistentiaalinen
eksoottinen,0.68,0.422,0.454,exotic,eksoottinen
ekstaasi,0.592,0.844,0.31,ecstasy,ekstaasi
eksyksissä,-0.804,0.352,-0.384,astray,eksyksissä
eksynyt,-0.546,0.286,-0.546,disoriented,eksynyt
eksynyt,-0.734,0.52,-0.438,stray,eksynyt
eksyä,-0.458,0.25,-0.178,digress,eksyä
ekumeeninen,0.122,-0.1,0.094,ecumenical,ekumeeninen
ekvaattori,0.1,-0.396,-0.076,equator,ekvaattori
elatusapu,0.224,-0.046,-0.072,alimony,elatusapu
ele,0.334,-0.038,-0.146,gesture,ele
eleganssi,0.836,-0.208,0.648,elegance,eleganssi
elektroni,0.04,-0.09,0.12,electron,elektroni
elektroniikka,0.416,0.09,0.148,electronics,elektroniikka
elektroninen,0.142,-0.02,0.408,electronic,elektroninen
elementti,0.062,-0.482,-0.038,element,elementti
eliitti,0.376,0.408,0.474,elite,eliitti
eliksiiri,0.416,0.174,0.208,elixir,eliksiiri
elimensiirto,0.062,0.388,0.22,transplantation,elimensiirto
elimet,-0.188,-0.156,-0.322,tract,elin
eliminointi,-0.896,0.334,-0.138,elimination,eliminointi
elinehto,0.346,0.38,0.416,lifeblood,elinehto
elinikä,0.632,0.118,0.472,lifetime,elinikä
elinikäinen,0.646,-0.34,0.28,lifelong,elinikäinen
elinkautisvanki,-0.146,0.038,-0.204,lifer,elinkautisvanki
elinkelpoisuus,0.552,0.0,0.368,viability,elinkelpoisuus
elinkorko,0.042,-0.392,0.054,annuity,elinkorko
elintärkeä,0.5,0.432,0.694,vital,elintärkeä
elinvoima,0.72,0.51,0.622,vigor,elinvoima
elinvoimaisuus,0.846,0.13,0.738,vitality,elinvoimaisuus
elinympäristö,0.266,-0.314,0.106,habitat,elinympäristö
elitistinen,0.0,0.212,0.312,elitist,elitistinen
ellipsi,0.306,-0.284,-0.372,ellipsis,ellipsi
ellipsoidi,0.0,-0.12,-0.162,ellipsoid,ellipsoidi
elliptinen,-0.324,-0.23,-0.02,elliptical,elliptinen
elohopea,-0.326,-0.376,-0.05,mercury,elohopea
elohopea,-0.166,-0.118,0.058,quicksilver,elohopea
eloisa,0.646,0.352,0.076,animated,eloisa
eloisa,0.354,0.058,-0.124,peppy,eloisa
eloisa,0.542,0.648,0.564,vibrant,eloisa
eloisa,0.396,0.254,0.334,vivid,eloisa
eloisuus,0.124,-0.266,0.0,elan,eloisuus
elokuu,0.304,-0.416,-0.076,august,elokuu
elokuva,0.396,0.076,0.0,cinema,elokuva
elokuva,0.646,-0.018,0.132,film,elokuva
elokuva,0.584,0.12,-0.058,movie,elokuva
elokuvamainen,0.326,-0.02,0.2,cinematic,elokuvamainen
elokuvantekijä,0.408,0.02,0.27,filmmaker,elokuvantekijä
elokuvaus,0.562,0.142,0.25,cinematography,elokuvaus
elonkorjaaja,-0.32,0.13,-0.072,reaper,elonkorjaaja
eloonjääminen,0.082,0.596,0.758,survival,eloonjääminen
eloonjäänyt,0.292,0.672,0.442,surviving,eloonjäänyt
elossa,0.632,0.274,0.462,alive,elo
eloton,-0.438,-0.714,-0.552,inanimate,eloton
eloton,-0.916,-0.334,-0.674,lifeless,eloton
elpyminen,0.646,0.328,0.194,revival,elpyä
eltaantunut,-0.688,-0.098,-0.572,rancid,eltaantunut
elvyttää,0.562,0.45,0.634,resurrect,elvyttää
elvyttää,0.062,0.392,0.636,resuscitate,elvyttää
elvyttää,0.352,0.56,0.556,revive,elvyttää
elvytys,0.506,0.536,0.59,resuscitation,elvytys
eläimellinen,-0.48,0.522,0.348,bestial,eläimellinen
eläimellinen,-0.77,0.094,-0.242,brute,eläimellinen
eläimellinen,-0.46,0.674,0.176,brutish,eläimellinen
eläimistö,0.292,-0.308,-0.192,fauna,eläimistö
eläin,0.042,0.02,0.026,animal,eläin
eläinlääketieteellinen,0.312,-0.1,0.206,veterinary,eläinlääketieteellinen
eläinlääkäri,0.062,-0.2,0.288,vet,eläinlääkäri
eläinlääkäri,0.164,-0.164,0.084,veterinarian,eläinlääkäri
eläinrata,0.188,-0.142,-0.148,zodiac,eläinrata
eläintarha,0.146,-0.04,0.076,menagerie,eläintarha
eläintarha,0.52,0.04,0.16,zoo,eläintarha
eläintiede,0.136,-0.306,0.018,zoology,eläintiede
eläintieteellinen,0.334,-0.084,-0.016,zoological,eläintieteellinen
eläke,0.25,-0.182,-0.188,pension,eläke
eläke,-0.5,-0.352,-0.49,retirement,eläke
eläkeläinen,-0.12,-0.51,-0.116,pensioner,eläkeläinen
eläkkeellä,-0.46,-0.482,-0.398,retired,eläke
eläköityminen,-0.184,-0.248,-0.572,retiring,eläköityä
eläköityä,-0.204,-0.216,-0.628,retire,eläköityä
eläköön,0.68,0.134,0.288,viva,elää
elämä,0.836,0.23,0.648,life,elämä
elämä,0.376,0.132,0.258,thelife,elämä
elämäkerta,0.396,-0.542,0.436,biography,elämäkerta
elämänohje,0.75,0.124,0.774,maxim,elämänohje
elämäntapa,0.5,-0.056,0.29,lifestyle,elämäntapa
elättäjä,0.502,-0.012,0.5,provider,elättäjä
elävä,0.552,0.134,0.53,lifelike,elävä
elävä,0.73,0.216,0.454,living,elävä
elävöittää,0.654,0.51,0.27,animate,elävöittää
elävöittää,0.666,0.366,0.404,enliven,elävöittää
elävöittää,0.416,0.426,0.346,liven,elävöittää
eläytyä,0.604,0.182,0.32,empathize,eläytyä
elää,0.76,0.346,0.352,live,elää
emali,0.188,-0.44,-0.388,enamel,emali
emansipaatio,0.408,0.368,0.526,emancipation,emansipaatio
emeritus,0.266,-0.196,0.47,emeritus,emeritus
emetofobia,-0.514,0.24,-0.194,emetophobia,
emiiri,0.02,-0.208,0.242,emir,emiiri
empaattinen,0.52,0.14,0.116,empathic,empaattinen
empatia,0.458,-0.302,0.09,empathy,empatia
empiirinen,0.0,0.02,0.148,empirical,empiirinen
empirismi,0.166,-0.08,0.094,empiricism,empirismi
empivä,-0.47,0.056,-0.52,hesitating,empivä
emu,-0.16,-0.284,-0.34,emu,EMU
emulsio,0.124,-0.138,-0.094,emulsion,emulsio
emäntä,0.584,0.208,0.376,hostess,emäntä
emäntä,0.04,0.038,0.11,matron,emäntä
emäntä,0.26,0.592,0.388,mistress,emäntä
emätin,0.102,0.74,0.0,vagina,emätin
enchilada,0.084,0.106,-0.258,enchilada,
encore,0.02,-0.154,0.0,encore,
endokardiitti,-0.53,0.174,-0.176,endocarditis,endokardiitti
enemmistö,0.368,0.12,0.86,majority,enemmistö
enemmistö,0.366,-0.054,0.174,plurality,enemmistö
energia,0.888,0.45,0.736,energy,energia
energinen,0.694,0.736,0.804,energetic,energinen
enimmäismäärä,0.448,0.448,0.704,maximum,enimmäismäärä
enkeli,0.812,-0.684,0.408,angel,enkeli
enkelimäinen,0.854,-0.404,0.336,angelic,enkelimäinen
ennakkoaavistus,-0.27,0.53,0.088,premonition,ennakkoaavistus
ennakkoaavistus,-0.122,0.412,0.272,foreboding,ennakkoaavistus
ennakkoluulo,-0.78,0.226,-0.186,prejudice,ennakkoluulo
ennakkoluuloinen,-0.53,0.25,-0.31,prejudiced,ennakkoluuloinen
ennakkotapaus,0.148,-0.216,0.442,precedent,ennakkotapaus
ennakoida,0.244,-0.062,0.334,anticipate,ennakoida
ennakointi,0.396,0.078,0.422,anticipation,ennakointi
ennakoitu,0.132,-0.278,0.124,foreseen,ennakoitu
ennakoiva,0.306,0.102,0.364,anticipatory,ennakoiva
ennakoiva,0.584,0.446,0.714,proactive,ennakoiva
ennallaan,-0.02,-0.592,-0.526,unchanged,ennallaan
ennaltaehkäisevä,0.284,-0.078,0.272,preemptive,ennaltaehkäisevä
ennaltaehkäisy,0.52,-0.074,0.2,prevention,ennaltaehkäisy
enne,-0.22,0.314,0.166,omen,enne
ennen,-0.042,-0.376,-0.246,ere,ennen
ennenaikainen,-0.438,-0.168,-0.446,premature,ennenaikainen
ennenaikainen,-0.51,0.352,-0.534,untimely,ennenaikainen
ennenaikaisesti,-0.416,0.314,-0.422,prematurely,ennenaikainen
ennennäkemätön,0.124,-0.06,0.538,unequalled,ennennäkemätön
ennennäkemätön,0.416,-0.388,0.076,unparalleled,ennennäkemätön
ennennäkemätön,0.0,-0.018,0.316,unprecedented,ennennäkemätön
ennustaa,0.23,-0.028,0.308,predict,ennustaa
ennustaa,0.346,0.076,0.364,prophesy,ennustaa
ennustaja,0.27,0.222,0.692,forecaster,ennustaja
ennustaja,0.292,0.23,0.476,predictor,ennustaja
ennustaminen,0.0,0.3,0.09,divination,ennustaa
ennustava,-0.042,-0.092,0.472,predictive,ennustava
ennuste,0.566,-0.162,0.396,forecast,ennuste
ennuste,0.0,0.012,0.258,prognosis,ennuste
ennusteellinen,0.292,0.208,0.408,prognostic,ennusteellinen
ennustettava,-0.376,-0.408,-0.16,predictable,ennustettava
ennustus,0.124,0.27,0.17,prediction,ennustus
ennätys,0.104,-0.158,0.0,record,ennätys
ensihoitaja,0.346,-0.072,0.272,paramedic,ensihoitaja
ensi-ilta,0.552,0.192,0.146,premiere,ensi-ilta
ensimmäinen,0.25,0.0,0.576,first,ensimmäinen
ensisijainen,-0.52,-0.02,-0.232,overriding,ensisijainen
ensisijainen,0.124,-0.22,0.09,primary,ensisijainen
ensisijainen,0.416,-0.45,-0.108,prime,ensisijainen
enteellinen,0.062,0.078,0.392,prescient,enteellinen
enteillä,-0.312,-0.188,-0.178,bode,enteillä
entinen,-0.5,0.04,-0.388,ex,entinen
entisöinti,0.51,-0.148,0.468,restoration,entisöinti
entsyymi,0.124,-0.446,-0.038,enzyme,entsyymi
epidemia,-0.816,0.66,0.222,epidemic,epidemia
epiduraali,-0.306,-0.096,0.05,epidural,epiduraali
epilepsia,-0.878,0.708,-0.5,epilepsy,epilepsia
epileptinen,-0.708,0.588,-0.32,epileptic,epileptinen
epilogi,0.164,-0.294,-0.068,epilogue,epilogi
episodi,0.438,-0.266,0.018,episode,episodi
episodimainen,0.062,0.084,-0.076,episodic,episodimainen
epiteetti,0.06,-0.212,0.048,epithet,epiteetti
epäaktiivinen,-0.458,-0.666,-0.682,inactive,epäaktiivinen
epäammattimainen,-0.916,-0.26,-0.66,unprofessional,epäammattimainen
epäeettinen,-0.792,-0.134,-0.462,unethical,epäeettinen
epähygieeninen,-0.874,0.184,-0.462,unsanitary,epähygieeninen
epäillä,-0.21,-0.298,-0.538,doubt,epäillä
epäillä,-0.734,0.5,0.018,suspect,epäillä
epäilty,-0.654,0.51,-0.096,suspected,epäilty
epäily,-0.592,0.422,-0.246,suspicion,epäily
epäilyttävä,-0.694,0.49,-0.138,suspicious,epäilyttävä
epäinhimillinen,-0.786,0.32,-0.016,inhuman,epäinhimillinen
epäinhimillinen,-0.792,0.174,-0.196,inhumane,epäinhimillinen
epäinhimillisyys,-0.714,0.08,-0.19,inhumanity,epäinhimillisyys
epäitsekäs,0.042,-0.53,-0.208,selfless,epäitsekäs
epäitsekäs,0.23,-0.294,-0.246,unselfish,epäitsekäs
epäjohdonmukainen,-0.458,-0.138,-0.41,inconsistent,epäjohdonmukainen
epäjohdonmukaisuus,-0.75,-0.04,-0.372,inconsistency,epäjohdonmukaisuus
epäjärjestys,-0.73,0.196,-0.2,clutter,epäjärjestys
epäjärjestys,-0.604,0.314,-0.554,disarray,epäjärjestys
epäkesko,-0.104,-0.274,-0.29,cam,epäkesko
epäkiitollinen,-0.776,0.3,-0.272,invidious,epäkiitollinen
epäkiitollinen,-0.708,0.0,-0.006,thankless,epäkiitollinen
epäkohta,-0.816,0.27,-0.272,grievance,epäkohta
epäkohtelias,-0.666,0.18,-0.436,impolite,epäkohtelias
epäkunnioittava,-0.938,0.388,-0.454,disrespectful,epäkunnioittava
epäkunnioittava,-0.618,0.388,0.268,irreverent,epäkunnioittava
epäkunnioitus,-0.876,0.274,-0.396,disrespect,epäkunnioitus
epäkypsä,-0.772,0.0,-0.6,immature,epäkypsä
epäkäytännöllinen,-0.68,-0.254,-0.418,impractical,epäkäytännöllinen
epälojaalisuus,-0.626,0.432,-0.466,disloyalty,epälojaalisuus
epälooginen,-0.584,0.26,-0.498,illogical,epälooginen
epäluotettava,-0.146,-0.038,-0.204,oxymoron,epäluotettava
epäluotettava,-0.27,0.374,-0.034,shifty,epäluotettava
epäluotettava,-0.784,-0.04,-0.52,unreliable,epäluotettava
epäluotettava,-0.806,-0.102,-0.426,untrustworthy,epäluotettava
epäluottamus,-0.88,0.34,-0.448,distrust,epäluottamus
epäluottamus,-0.73,0.314,-0.538,mistrust,epäluottamus
epämiellyttävä,-0.646,-0.386,-0.584,unattractive,epämiellyttävä
epämiellyttävä,-0.756,0.224,-0.63,unpleasant,epämiellyttävä
epämukava,-0.552,0.22,-0.25,inconvenient,epämukava
epämukava,-0.624,0.22,-0.572,uncomfortable,epämukava
epämukavuus,-0.694,0.438,-0.456,discomfort,epämukavuus
epämuodostuma,-0.68,0.138,-0.518,deformity,epämuodostuma
epämuodostuma,-0.834,0.204,-0.286,malformation,epämuodostuma
epämuodostunut,-0.604,-0.13,-0.384,deformed,epämuodostunut
epämääräinen,-0.104,-0.416,-0.408,indefinite,epämääräinen
epämääräinen,-0.062,-0.306,-0.166,nebulous,epämääräinen
epämääräinen,-0.26,0.102,-0.444,obscure,epämääräinen
epämääräinen,-0.594,0.51,0.09,sneaking,epämääräinen
epämääräinen,-0.458,-0.33,-0.834,vague,epämääräinen
epämääräisyys,-0.584,-0.216,-0.24,obscurity,epämääräisyys
epämääräisyys,-0.7,-0.352,-0.558,vagueness,epämääräisyys
epäoikeudenmukainen,-0.438,0.038,-0.254,inequitable,epäoikeudenmukainen
epäoikeudenmukainen,-0.448,0.18,0.334,oppressive,epäoikeudenmukainen
epäoikeudenmukainen,-0.654,-0.056,-0.62,unfair,epäoikeudenmukainen
epäoikeudenmukainen,-0.77,0.25,-0.444,unjust,epäoikeudenmukainen
epäoikeudenmukainen,-0.796,0.36,-0.306,wrongful,epäoikeudenmukainen
epäoikeudenmukaisuus,-0.836,0.51,-0.112,injustice,epäoikeudenmukaisuus
epäoikeudenmukaisuus,-0.66,0.634,-0.328,unfairness,epäoikeudenmukaisuus
epäoikeutettu,-0.424,0.082,-0.372,unjustified,epäoikeutettu
epäolennainen,-0.408,-0.382,-0.41,immaterial,epäolennainen
epäonni,-0.812,0.56,-0.378,misfortune,epäonni
epäonnistua,-0.646,0.156,-0.692,fail,epäonnistua
epäonnistunut,-0.82,0.552,-0.44,abortive,epäonnistunut
epäonnistunut,-0.72,-0.364,-0.788,unsuccessful,epäonnistunut
epäorgaaninen,-0.23,-0.31,-0.436,inorganic,epäorgaaninen
epäpuhdas,-0.48,0.12,-0.584,impure,epäpuhdas
epäpuhdas,-0.734,0.058,-0.732,unclean,epäpuhdas
epäpuhtaus,-0.654,0.092,-0.388,impurity,epäpuhtaus
epäpukeva,-0.754,-0.058,-0.424,unbecoming,epäpukeva
epäpyhä,-0.666,0.402,-0.128,profane,epäpyhä
epäpyhä,-0.346,0.12,-0.11,unholy,epäpyhä
epäpätevyys,-0.846,0.102,-0.584,incompetence,epäpätevyys
epäpätevä,-0.734,0.132,-0.522,incompetent,epäpätevä
epäpätevä,-0.66,-0.134,-0.654,unqualified,epäpätevä
epärealistinen,-0.542,0.0,-0.51,unrealistic,epärealistinen
epärehellinen,-0.618,-0.018,-0.674,dishonest,epärehellinen
epärehellisyys,-0.812,0.184,-0.304,dishonesty,epärehellisyys
epäromanttinen,-0.584,-0.368,-0.386,unromantic,epäromanttinen
epäröidä,-0.082,0.096,-0.536,hesitate,epäröidä
epäröinti,-0.428,-0.208,-0.566,hesitation,epäröinti
epäröivä,-0.334,0.084,-0.358,hesitant,epäröivä
epäselvyys,-0.672,-0.08,-0.26,ambiguity,epäselvyys
epäselvä,-0.47,-0.076,-0.284,ambiguous,epäselvä
epäselvä,-0.36,-0.266,-0.538,blurred,epäselvä
epäselvä,-0.882,-0.23,-0.564,blurry,epäselvä
epäselvä,-0.346,-0.036,-0.486,equivocal,epäselvä
epäselvä,-0.408,-0.02,-0.37,illegible,epäselvä
epäselvä,-0.49,-0.32,-0.28,indistinct,epäselvä
epäselvä,-0.542,-0.074,-0.596,unclear,epäselvä
epäsiisti,-0.688,0.166,-0.648,grubby,epäsiisti
epäsiisti,-0.788,0.22,-0.492,untidy,epäsiisti
epäsovinnainen,-0.646,0.018,-0.424,unconventional,epäsovinnainen
epäsovinnainen,-0.32,-0.04,-0.118,unorthodox,epäsovinnainen
epäsuhta,-0.5,-0.082,-0.436,mismatch,epäsuhta
epäsuora,-0.346,0.06,-0.038,implied,epäsuora
epäsuora,-0.23,-0.196,-0.34,indirect,epäsuora
epäsuosittu,-0.854,-0.118,-0.672,unpopular,epäsuosittu
epäsuotuisa,-0.734,-0.1,-0.536,unfavorable,epäsuotuisa
epäsymmetria,-0.048,-0.254,0.054,asymmetry,epäsymmetria
epäsymmetrinen,0.16,-0.314,-0.07,asymmetric,epäsymmetrinen
epäsäännöllinen,-0.376,0.096,-0.358,irregular,epäsäännöllinen
epäsäännöllisesti,-0.416,0.13,-0.206,irregularly,epäsäännöllinen
epäsäännöllisyys,-0.792,0.294,-0.388,irregularity,epäsäännöllisyys
epätarkka,-0.73,-0.1,-0.5,inaccurate,epätarkka
epätarkka,-0.694,-0.082,-0.66,inexact,epätarkka
epätasainen,-0.438,0.212,-0.518,spotty,epätasainen
epätasainen,-0.75,-0.086,-0.52,uneven,epätasainen
epätasapaino,-0.77,0.076,-0.472,imbalance,epätasapaino
epätavallinen,-0.082,-0.142,-0.254,uncommon,epätavallinen
epätavallinen,-0.142,-0.134,-0.278,unusual,epätavallinen
epätavallisen,-0.23,-0.188,-0.284,unusually,epätavallinen
epäterveellinen,-0.77,0.098,-0.572,unhealthy,epäterveellinen
epätieteellinen,-0.208,-0.366,-0.358,unscientific,epätieteellinen
epätodellinen,0.1,0.058,0.34,surreal,epätodellinen
epätodellinen,-0.654,-0.138,-0.408,unreal,epätodellinen
epätodennäköinen,-0.806,-0.176,-0.122,improbable,epätodennäköinen
epätodennäköinen,-0.458,-0.414,-0.51,unlikely,epätodennäköinen
epätoivo,-0.77,0.588,-0.51,despair,epätoivo
epätoivo,-0.75,0.808,-0.162,desperation,epätoivo
epätoivoinen,-0.854,0.47,-0.428,despairing,epätoivoinen
epätoivoinen,-0.834,0.684,-0.326,desperate,epätoivoinen
epätyydyttävä,-0.756,0.04,-0.622,unsatisfactory,epätyydyttävä
epätyypillinen,-0.122,-0.122,-0.164,unlike,epätyypillinen
epätäydellinen,-0.654,0.054,-0.596,imperfect,epätäydellinen
epätäydellinen,-0.694,-0.26,-0.59,incomplete,epätäydellinen
epätäydellisesti,-0.406,-0.038,-0.34,imperfectly,epätäydellinen
epätäydellisesti,-0.312,-0.116,-0.536,incompletely,epätäydellinen
epätäydellisyys,-0.62,0.134,-0.358,imperfection,epätäydellisyys
epätäydellisyys,-0.458,-0.098,-0.532,incompleteness,epätäydellisyys
epäusko,-0.624,-0.182,-0.254,disbelief,epäusko
epäusko,-0.47,0.164,-0.186,unbelief,epäusko
epäuskoinen,-0.428,0.02,-0.462,incredulous,epäuskoinen
epäuskottava,-0.62,0.064,-0.712,unconvincing,epäuskottava
epävakaa,-0.666,0.174,-0.7,unstable,epävakaa
epävakaa,-0.756,0.0,-0.62,unsteady,epävakaa
epävakaisuus,-0.646,0.52,-0.294,instability,epävakaisuus
epävarma,-0.24,-0.116,-0.334,iffy,epävarma
epävarma,-0.772,0.076,-0.736,insecure,epävarma
epävarma,-0.786,0.08,-0.454,precarious,epävarma
epävarma,-0.274,0.0,-0.672,uncertain,epävarma
epävarma,-0.714,0.16,-0.566,unsure,epävarma
epävarmuus,-0.812,0.294,-0.3,insecurity,epävarmuus
epävarmuus,-0.872,-0.012,-0.436,uncertainty,epävarmuus
epäviisas,-0.718,0.22,-0.392,unwise,epäviisas
epävirallinen,-0.04,-0.204,-0.118,informal,epävirallinen
epävirallinen,-0.48,-0.396,-0.49,unofficial,epävirallinen
epäystävällinen,-0.654,0.34,-0.084,unfriendly,epäystävällinen
epäystävällinen,-0.73,-0.182,-0.38,unkind,epäystävällinen
epäystävällinen,-0.674,0.24,-0.438,unsympathetic,epäystävällinen
erakko,-0.458,-0.326,-0.298,hermit,erakko
erakko,-0.306,-0.696,-0.558,loner,erakko
erakko,-0.52,-0.02,-0.108,recluse,erakko
erehdys,-0.23,0.236,0.446,oversight,erehdys
erehtymätön,0.552,0.374,0.618,infallible,erehtymätön
erehtyväinen,-0.27,0.074,-0.196,fallible,erehtyväinen
erehtyä,-0.708,0.32,-0.528,err,erehtyä
erektio,0.28,0.712,0.39,erection,erektio
eri,0.0,-0.408,-0.316,various,eri
eri > erilainen,0.224,-0.212,-0.054,different,
eriarvoinen,-0.764,-0.134,-0.596,unequal,eriarvoinen
eriarvoisuus,-0.756,0.15,-0.482,inequality,eriarvoisuus
erikoisen,0.23,-0.1,-0.092,peculiarly,erikoinen
erikoislaatuinen,0.77,0.04,0.208,distinctive,erikoislaatuinen
erikoistua,0.552,0.08,0.722,specialize,erikoistua
erikoisuus,0.34,-0.132,0.172,particularity,erikoisuus
erikoisuus,0.708,-0.06,0.77,speciality,erikoisuus
erikoisuus > omituisuus,-0.122,-0.096,0.304,peculiarity,
erikseen,-0.38,-0.27,-0.264,separately,erä
erikseen,0.438,-0.404,0.2,severally,erä
erilainen,-0.124,0.0,-0.264,disparate,erilainen
erilainen,-0.448,-0.078,-0.056,dissimilar,erilainen
erilainen,0.166,0.16,0.204,divers,erilainen
erilaistuminen,-0.266,0.122,0.07,differentiation,erilaistua
erilaisuus,-0.052,0.12,-0.034,difference,erilaisuus
erilaisuus,-0.584,-0.036,-0.278,disparity,erilaisuus
erillinen,-0.44,-0.208,-0.568,detached,erillinen
erillinen,0.17,-0.538,-0.142,discrete,erillinen
erillinen,-0.52,0.028,-0.302,separate,erillinen
erillinen,-0.396,-0.46,-0.472,unrelated,erillinen
erillisalue,0.062,-0.334,0.16,enclave,erillisalue
erimielisyys,-0.792,0.236,-0.528,disagreement,erimielisyys
erimielisyys,-0.4,0.31,-0.186,dissent,erimielisyys
erinomainen,0.94,0.174,0.74,excellent,erinomainen
erinomainen,0.784,0.288,0.208,exquisite,erinomainen
erinomainen,0.796,0.52,0.792,outstanding,erinomainen
erinomainen,0.376,0.352,0.464,preeminent,erinomainen
erinomaisesti,0.712,0.53,0.574,famously,erinomainen
erinomaisuus,0.916,0.24,0.814,excellence,erinomaisuus
eripuraisuus,-0.77,0.764,-0.07,discord,eripuraisuus
eripuraisuus,-0.5,0.236,-0.172,dissension,eripuraisuus
eripuraisuus,-0.654,-0.058,-0.328,dissonance,eripuraisuus
eripuraisuus,-0.062,-0.14,-0.104,faction,eripuraisuus
eristetty,-0.584,-0.47,-0.392,insulated,eristetty
eristys,-0.51,-0.346,-0.472,insulation,eristys
eristäminen,-0.604,-0.324,-0.322,isolation,eristää
eristäytynyt,-0.286,-0.47,-0.52,secluded,eristäytynyt
eristäytynyt,-0.68,0.726,-0.146,sequestered,eristäytynyt
eristää,-0.27,-0.284,-0.428,insulate,eristää
eristää,-0.53,-0.156,-0.328,isolate,eristää
eristää,-0.42,0.254,-0.12,segregate,eristää
eritellä,-0.082,0.054,0.036,itemize,eritellä
eritellä,0.312,-0.19,0.2,specify,eritellä
erittäin,0.27,0.654,0.772,extremely,erittäin
erittää,-0.146,0.134,0.036,secrete,erittää
erityinen,0.654,-0.162,0.588,especial,erityinen
erityinen,0.688,0.204,0.46,special,erityinen
erityinen,0.312,-0.224,0.382,specific,erityinen
erityisesti,0.388,0.214,0.546,eminently,erityinen
erityisesti,0.694,-0.204,0.428,specially,erityinen
eritys,-0.43,0.3,-0.086,excretion,eritys
eritys,-0.292,0.164,0.058,secretion,eritys
erivapaus,-0.224,-0.076,-0.02,dispensation,erivapaus
eriävä,-0.584,0.104,-0.268,dissenting,eriävä
eriävä,-0.102,0.32,0.174,divergent,eriävä
ero,0.04,-0.244,0.07,differential,ero
ero,0.168,0.142,0.5,distinction,ero
eroaminen,-0.71,-0.216,-0.38,resignation,erota
eroaminen,-0.354,0.122,0.018,secession,erota
eroavuus,-0.142,0.23,0.374,divergence,eroavuus
eronnut,-0.694,0.22,-0.038,divorcee,eronnut
eroosio,-0.376,0.54,-0.07,erosion,eroosio
eroottinen,0.25,0.892,0.366,erotic,eroottinen
erota,-0.5,0.44,-0.286,breakup,erottaa
erota,-0.54,-0.204,-0.208,differ,erottaa
erota,-0.25,0.314,0.04,diverge,erottaa
erota,-0.5,0.086,-0.454,resign,erottaa
erottaa,-0.082,0.132,0.036,discern,erottaa
erottaa,-0.666,0.082,0.018,dismiss,erottaa
erottaa,0.35,-0.058,0.2,distinguish,erottaa
erottamaton,0.4,0.04,0.142,inseparable,erottamaton
erottaminen,-0.604,0.184,-0.182,separation,erottaa
erottava,-0.68,0.566,-0.076,discriminating,erottava
erottava,-0.428,-0.038,-0.2,disjunctive,erottava
erottava,0.244,-0.274,0.28,distinguishing,erottava
erottelu,-0.396,0.09,-0.22,segregation,erottelu
erottuva,0.27,0.06,0.454,distinguishable,erottuva
erä,0.12,-0.286,-0.286,batch,erä
erä,0.062,-0.57,-0.26,lot,erä
erämaa,-0.438,-0.334,-0.42,wilderness,erämaa
erääntyminen,-0.47,0.078,-0.074,expiration,erääntyä
erääntymisaika,-0.612,-0.132,-0.236,expiry,erääntymisaika
erääntynyt,-0.75,-0.146,-0.482,overdue,erääntynyt
erääntyä,0.146,0.49,0.404,expire,erääntyä
esiaviollinen,-0.02,0.196,0.0,premarital,esiaviollinen
esihistoriallinen,-0.166,-0.366,-0.162,prehistoric,esihistoriallinen
esiintyjä,0.082,0.06,0.416,performer,esiintyjä
esiintyminen,0.146,0.38,0.082,occurrence,esiintyä
esiintymiskoe,0.5,0.37,0.23,audition,esiintymiskoe
esiintyvyys,-0.166,0.054,-0.142,incidence,esiintyvyys
esi-isät,0.38,-0.176,0.254,forefathers,esi-isä
esikatselu,0.312,-0.326,-0.018,preview,esikatselu
esikaupunki,-0.124,-0.02,-0.158,suburbia,esikaupunki
esikaupunkilainen,-0.122,-0.1,-0.094,suburban,esikaupunkilainen
esikko,0.654,-0.54,0.296,primrose,esikko
esikoinen,0.572,-0.02,0.39,firstborn,esikoinen
esikoulu,0.208,-0.236,-0.214,preschool,esikoulu
