Finnish-fi,Valence,Arousal,Dominance,English-en
homofobinen,-0.74,0.472,-0.072,homophobic
homogeeninen,0.104,-0.49,0.234,homogeneous
homogeenisuus,0.43,-0.27,0.164,homogeneity
homologi,0.084,-0.288,0.018,homologue
homologia,0.142,-0.012,0.054,homology
homologinen,-0.058,-0.294,0.072,homologous
homoseksuaalinen,-0.334,0.56,-0.138,homosexual
homoseksuaalisuus,-0.266,0.392,-0.142,homosexuality
hontelo,-0.176,-0.148,-0.26,lanky
hoosianna,0.358,-0.254,0.0,hosannah
hopea,0.368,-0.098,0.23,silver
hopealanka,0.326,0.042,-0.054,tinsel
hopeanhohtoinen,0.086,-0.08,0.034,silvery
hopeinen,0.188,-0.164,-0.056,argent
horisontti,0.458,-0.432,0.18,horizon
horjumaton,0.48,0.26,0.716,unwavering
horjuttaa,-0.286,0.114,0.072,subvert
horjuvainen,-0.25,-0.14,-0.232,wavering
hormi,-0.292,0.376,-0.098,flue
hormonaalinen,0.0,0.24,0.102,hormonal
hormoni,-0.02,0.5,0.242,hormone
horoskooppi,0.0,-0.28,-0.02,horoscope
horros,-0.354,0.18,-0.34,stupor
hostelli,-0.042,0.0,-0.204,hostel
hotelli,0.48,-0.26,-0.186,hotel
hotellipoika,0.084,-0.274,-0.396,bellboy
houkutella,0.592,0.326,0.538,attract
houkutin,0.294,0.53,0.37,inducement
houkutteleva,0.23,0.48,0.038,tempting
houkuttelu,0.224,0.34,0.074,persuasion
houkutus,-0.27,0.634,0.12,temptation
houkutuslintu,-0.702,-0.08,-0.34,decoy
houraileva,-0.562,0.548,0.076,delirious
hourailu,-0.534,0.388,-0.032,delirium
housut,0.25,-0.372,-0.116,trousers
hovimestari,-0.062,-0.55,-0.124,butler
hovinarri,-0.224,0.34,-0.472,jester
huh,0.062,-0.142,-0.396,phew
huhu,-0.49,0.164,-0.436,rumor
huijari,-0.75,0.442,0.15,swindler
huijata,-0.756,0.48,-0.122,swindle
huijaus,-0.916,0.49,-0.164,scam
huikea,0.082,0.48,0.51,whopping
huikenteleva,-0.438,-0.158,-0.538,dissipated
huikka,0.208,-0.038,-0.188,swig
huilu,0.27,-0.34,-0.274,flute
huimaava,-0.602,0.164,-0.614,dizzy
huimapäinen,-0.142,0.428,0.306,daredevil
huimaus,-0.542,0.11,-0.492,dizziness
huipennus,0.312,0.172,0.39,culmination
huipentua,0.334,0.1,0.204,culminate
huipentuma,0.47,0.706,0.334,climax
huippu,0.266,-0.22,0.016,pinnacle
huippukokous,0.25,0.236,0.528,summit
huiputtaa,-0.632,0.52,-0.346,dupe
huitaista,0.146,-0.1,-0.468,swipe
huivi,0.5,-0.552,-0.552,scarf
hukata,-0.542,-0.078,-0.618,misplace
hukkua,-0.858,0.72,-0.46,drown
hukuttaa,-0.51,-0.15,-0.53,swamp
huligaani,-0.41,0.424,-0.09,hooligan
hulinoitsija,-0.292,0.44,-0.136,hoodlum
hullaantunut,0.458,0.528,-0.166,infatuated
hullu,-0.688,0.686,-0.358,crazy
hullujenhuone,-0.688,0.472,-0.12,madhouse
hullunkurinen,-0.082,0.146,-0.156,droll
hulluttelu,0.458,0.278,-0.09,whimsy
hullutus,-0.49,0.314,-0.13,craze
hulluus,-0.792,0.608,-0.12,madness
humalahakuinen,-0.392,0.3,0.0,binge
humalainen,-0.69,0.698,-0.5,drunken
humalassa,-0.612,0.6,-0.5,drunk
humanitaarinen,0.572,-0.366,0.418,humanitarian
humanoidi,0.042,-0.076,-0.018,humanoid
hummeri,0.142,-0.288,-0.418,lobster
humoristi,0.916,0.58,0.214,humorist
humoristinen,0.812,0.232,0.33,humorous
humpuuki,-0.562,0.244,-0.088,humbug
hunaja,0.84,-0.138,0.02,honey
hunajakenno,0.082,-0.166,-0.176,honeycomb
huntu,0.0,-0.53,-0.17,veil
huohottaa,-0.104,-0.074,-0.182,pant
huohottava,-0.584,0.408,-0.242,gasping
huokaus,-0.062,-0.226,-0.454,sigh
huokea,0.388,-0.172,-0.48,inexpensive
huokoinen,0.326,-0.388,-0.418,foamy
huokoinen,-0.23,-0.26,-0.472,porous
huokoisuus,-0.376,-0.314,-0.196,porosity
huokonen,-0.146,-0.458,-0.316,pore
huolehtiva,0.27,-0.062,0.0,caring
huolellinen,0.25,0.076,0.06,careful
huolellisesti,0.396,-0.34,0.088,carefully
huolenpito,0.458,-0.26,0.0,care
huolestuneisuus,-0.62,0.596,-0.518,uneasiness
huolestunut,-0.812,0.648,-0.21,worried
huolestuttaa,-0.5,0.468,-0.074,concern
huolestuttava,-0.906,0.5,-0.408,worrying
huoleton,0.51,-0.56,0.0,carefree
huoli,-0.51,0.552,-0.466,worry
huolimaton,-0.666,0.166,-0.482,negligent
huolimatta,-0.266,-0.368,-0.134,notwithstanding
huolimattomuus,-0.816,0.14,-0.498,negligence
huolissaan,-0.624,0.644,-0.016,alarmed
huoliteltu,0.756,-0.53,-0.018,neat
huollettava,-0.292,-0.09,-0.192,dependent
huoltajuus,-0.012,-0.056,0.35,custody
huolto,0.0,0.302,-0.018,overhaul
huoltopäällikkö,0.102,0.16,0.322,quartermaster
huomaamaton,-0.244,-0.02,0.096,imperceptible
huomaamatta,-0.204,-0.49,-0.486,unobserved
huomaamattomasti,-0.396,-0.12,-0.48,unnoticed
huomaavainen,0.562,-0.24,0.266,considerate
huomaavaisuus,0.734,-0.462,0.334,thoughtfulness
huomata,0.5,-0.02,0.138,heed
huomattava,0.52,-0.1,0.392,notable
huomattavasti,0.376,0.236,0.736,remarkably
huomautus,0.122,-0.35,0.432,remark
huomenna,0.584,-0.246,-0.186,tomorrow
huomio,0.48,0.198,0.548,attention
huomiokykyinen,0.48,-0.156,0.416,observant
huomionarvoinen,0.408,-0.038,0.518,noteworthy
huomispäivä,0.416,-0.372,-0.02,morrow
huone,0.458,-0.434,-0.11,room
huoneisto,0.438,-0.214,0.16,apartment
huonekalu,0.376,-0.48,-0.472,furniture
huonekalupyörä,0.208,0.34,0.294,caster
huonesiivooja,0.188,-0.25,-0.328,chambermaid
huonetoveri,0.5,-0.038,-0.04,roommate
huono,-0.75,0.25,-0.254,bad
huonokuntoinen,-0.708,-0.556,-0.456,unsound
huonomaineinen,-0.792,0.376,-0.294,disreputable
huonompi,-0.876,0.408,-0.55,worse
huonomuistinen,-0.52,-0.314,-0.472,forgetful
huono-onninen,-0.854,-0.21,-0.604,unlucky
huonosti,-0.854,0.018,-0.428,badly
huonovointinen,-0.756,0.038,-0.588,indisposed
huonovointisuus,-0.7,0.2,-0.678,malaise
huopa,0.286,-0.166,0.132,felt
huora,-0.73,0.76,-0.334,whore
huotra,-0.35,-0.562,-0.566,scabbard
hupailu,-0.124,-0.132,-0.158,skit
huppu,-0.286,-0.082,-0.388,hood
hupsu,-0.49,-0.128,-0.686,daft
hupullinen,-0.388,0.49,-0.122,hooded
hurina,-0.22,-0.148,-0.384,burr
hurja,-0.666,0.83,0.552,ferocious
hurmaantunut,0.042,0.472,0.02,rapt
hurmaava,0.938,0.038,-0.086,adorable
hurmata,0.746,0.3,0.286,enchant
hurme,-0.48,0.216,0.036,gore
hurmio,-0.122,0.766,0.134,rapture
hurmioitunut,0.75,0.538,0.484,ecstatic
hurmuri,0.764,0.366,0.564,charmer
hurraa,0.604,0.48,0.0,hurrah
hurraava,0.63,0.648,0.284,cheering
hurrata,0.876,0.568,0.69,cheer
hurrikaani,-0.646,0.916,0.574,hurricane
hurskas,0.396,-0.388,-0.148,pious
hurskasteleva,-0.52,-0.27,-0.346,sanctimonious
hurskaus,0.52,-0.32,-0.036,piety
hurtti,0.224,0.254,0.598,dashing
hutera,-0.584,0.518,-0.55,wobbly
huudahdus,0.224,0.49,0.196,exclamation
huudahtaa,0.27,0.422,0.278,exclaim
huuhdella,0.326,-0.664,-0.182,rinse
huuhtelu,0.23,-0.066,-0.278,lavage
huuhteluaine,0.49,-0.4,-0.254,softener
huulenheitto,0.552,0.678,-0.186,joking
huuli,0.082,-0.304,-0.114,lip
huuliharppu,0.694,-0.53,0.02,harmonica
huulipuna,0.306,-0.142,-0.388,lipstick
huumaantunut,-0.4,0.394,-0.446,dazed
huumaava,-0.104,0.612,0.13,heady
huumata,-0.51,0.47,-0.342,daze
huumattu,-0.796,0.5,-0.358,drugged
huume,-0.796,0.716,-0.1,narcotic
huumekauppa,-0.916,0.686,0.0,drug dealing
huumori,0.78,0.266,-0.076,humor
huurteinen,-0.146,-0.04,-0.238,frosty
huuru,0.02,-0.284,-0.364,vapor
huutaa,-0.542,0.85,-0.112,shout
huutaja,-0.07,-0.052,-0.134,bidder
huutava,-0.77,0.15,-0.638,gross
huuto,-0.448,0.65,-0.188,holler
huutokauppa,0.188,0.404,0.038,auction
huutosakki,0.526,0.078,0.116,supporters
huvi,0.858,0.674,0.606,amusement
huviajelu,0.388,0.1,0.0,joyride
huvila,0.396,-0.42,-0.31,villa
huvimaja,-0.062,-0.196,-0.318,gazebo
huviretki,0.616,-0.098,0.0,jaunt
huvittaa,0.624,0.368,0.328,amuse
huvittava,0.92,0.658,0.264,amusing
huvittunut,0.884,0.694,0.192,amused
hyasintti,-0.256,-0.28,-0.316,hyacinth
hybridi,0.0,-0.27,0.14,hybrid
hydraatti,0.22,-0.266,0.094,hydrate
hydrauliikka,0.0,0.06,0.176,hydraulics
hydraulinen,0.044,-0.204,0.192,hydraulic
hydrodynamiikka,0.104,0.164,0.328,hydrodynamics
hydrografinen,-0.02,-0.208,0.284,hydrographic
hydrologia,0.0,-0.24,0.018,hydrology
hyeena,-0.208,0.438,-0.072,hyena
hygieeninen,0.438,-0.51,0.404,hygienic
hygienia,0.562,-0.426,0.074,hygiene
hyinen,-0.122,-0.346,-0.052,glacial
hykerrellä,0.688,0.472,-0.038,chuckle
hyljeksitty,-0.77,0.38,-0.246,ostracized
hylkiminen,-0.506,0.346,-0.294,repulsion
hylkivä,-0.428,0.0,-0.018,repellent
hylkiä,-0.552,0.24,-0.118,repel
hylkiö,-0.694,-0.102,-0.294,outcast
hylky,-0.836,-0.294,-0.334,wreckage
hylkäys,-0.84,0.408,-0.34,rejection
hylkääminen,-0.744,-0.14,-0.596,abandonment
hylly,0.122,-0.596,-0.268,shelf
hyllytetty,-0.388,-0.668,-0.358,shelved
hylätty,-0.908,-0.038,-0.74,abandoned
hylätä,-0.796,0.134,-0.554,forsake
hymni,0.56,-0.314,0.458,anthem
hymy,0.812,0.196,0.236,smile
hymyilevä,0.73,-0.06,0.142,smiley
hymyily,0.962,0.358,0.25,smiling
hyper,0.084,0.232,0.28,hyper
hyperavaruus,0.02,0.246,0.51,hyperspace
hyperkorrekti,-0.292,0.118,-0.272,prissy
hyperventiloida,-0.306,0.458,0.112,hyperventilate
hyperventilointi,-0.672,0.604,0.25,hyperventilating
hypnoosi,-0.166,-0.18,0.092,hypnosis
hypnoottinen,0.142,0.12,0.138,hypnotic
hypnotisoida,-0.062,0.014,0.016,hypnotize
hypnotisoija,-0.02,-0.09,0.254,hypnotist
hypnotisoitu,-0.102,-0.132,-0.24,hypnotized
hypotalamus,0.186,-0.146,0.078,hypothalamus
hypoteesi,0.104,-0.26,0.018,hypothesis
hypoteettinen,-0.04,-0.266,-0.278,hypothetical
hypotermia,-0.632,0.24,-0.398,hypothermia
hyppiä,-0.084,0.608,-0.122,skip
hyppynaru,0.312,0.32,-0.264,jump rope
hyppysellinen,-0.32,0.264,-0.322,pinch
hypätä,0.25,0.73,0.222,jump
hyräillä,-0.02,-0.408,-0.448,hum
hyssytellä,-0.058,-0.538,-0.376,hush
hysteerinen,-0.42,0.884,-0.204,hysterical
hysteria,-0.552,0.812,-0.036,hysteria
hytistä,-0.48,0.53,-0.528,shiver
hytti,0.286,-0.416,-0.14,cabin
hyttynen,-0.542,-0.2,-0.604,mosquito
hyve,0.792,-0.114,0.654,virtue
hyveellinen,0.78,0.06,0.644,virtuous
hyvillään,0.878,0.096,0.59,pleased
hyvinvointi,0.938,-0.118,0.46,wellness
hyvinvoiva,0.512,-0.224,-0.046,affluent
hyvittäminen,0.346,0.1,0.482,crediting
hyvittää,0.688,0.24,0.706,recompense
hyvitys,0.082,0.056,-0.14,refund
hyvyys,0.938,-0.358,0.43,goodness
hyvä,0.876,-0.264,0.068,good
hyväillä,0.666,-0.164,0.018,caress
hyväily,0.624,-0.076,-0.04,petting
hyväksikäytetty,-0.958,0.748,-0.53,abused
hyväksikäyttö,-0.688,0.84,0.436,exploitation
hyväksyminen,0.666,-0.426,0.51,acceptance
hyväksyntä,0.666,0.174,0.452,recognition
hyväksytty,0.666,-0.302,0.396,approved
hyväksyttävyys,0.604,0.16,0.204,admissibility
hyväksyttävä,0.624,-0.428,0.166,acceptable
hyväksyvä,0.834,0.166,0.546,approving
hyväksyä,0.694,-0.428,0.13,accept
hyvämaineinen,0.562,-0.076,0.838,reputable
hyvänlaatuinen,0.388,-0.12,0.018,benign
hyvänmakuinen,0.624,0.434,0.238,savory
hyvännäköinen,0.84,0.12,0.482,gorgeous
hyväntahtoinen,0.408,-0.24,-0.096,affable
hyväntahtoisuus,0.572,-0.32,0.434,benevolence
hyväntekeväisyys,0.84,-0.432,0.102,charity
hyväntekijä,0.666,0.156,0.51,benefactor
hyväonninen,0.854,0.278,0.672,fortunate
hyväpalkkainen,0.396,0.052,0.692,upscale
hyvästi,-0.52,-0.222,-0.344,goodbye
hyväsydämisyys,0.876,-0.3,0.016,kindness
hyväuskoinen,-0.396,0.018,-0.174,unsuspecting
hyypiö,-0.042,-0.216,-0.22,geek
hyytelö,0.302,-0.412,-0.488,jelly
hyytyminen,-0.238,0.116,-0.128,coagulation
hyytyä,-0.7,0.116,-0.45,clot
hyytävä,-0.584,0.7,-0.284,chilling
hyödyke,0.23,-0.212,0.074,commodity
hyödyllinen,0.666,-0.178,0.452,useful
hyödyllisesti,0.3,-0.038,0.52,usefully
hyödyllisyys,0.612,0.038,0.482,usefulness
hyödyntäminen,0.124,-0.062,0.412,utilization
hyödyntää,0.388,-0.11,0.09,utilize
hyödyttää,0.6,-0.14,0.206,avail
hyödytön,-0.792,-0.36,-0.764,unhelpful
hyökkäys,-0.428,0.896,0.34,attack
hyökkääjä,-0.708,0.896,0.646,aggressor
hyökkäävä,-0.448,0.674,0.284,attacking
hyökyaalto,-0.52,0.788,0.472,tidal wave
hyökätä,-0.244,0.02,0.0,assail
hyönteinen,-0.448,0.266,-0.516,insect
hyönteismyrkky,-0.624,0.196,-0.14,insecticide
hyönteistiede,-0.124,-0.208,0.09,entomology
hyönteistoukka,-0.51,-0.154,-0.492,larva
hyöty,0.812,-0.156,0.612,benefit
hyötyeläin,0.458,-0.16,0.038,livestock
hyötykuorma,0.224,0.02,0.364,payload
häijy,-0.724,0.6,0.254,wicked
häikäilemätön,-0.812,0.454,-0.07,unscrupulous
häikäisevä,0.708,0.76,0.534,dazzling
häikäistä,0.46,0.564,0.366,dazzle
häilyväinen,-0.562,0.204,-0.128,flighty
häilyä,0.02,-0.138,-0.192,hover
häipyä,-0.326,0.096,-0.182,scat
häiriintymätön,0.5,-0.574,0.306,untroubled
häiriintynyt,-0.75,0.74,-0.39,disturbed
häirikkö,-0.48,0.8,0.192,troublemaker
häiritsevä,-0.11,0.166,-0.2,distracting
häiritä,-0.65,0.52,-0.038,disturb
häiriö,-0.708,0.814,-0.192,disturbance
häiriötekijä,-0.196,0.114,-0.22,distraction
häiriötön,0.45,-0.426,-0.132,undisturbed
häivy,-0.49,0.234,-0.2,pissoff
häivytetty,-0.52,-0.062,-0.312,obliterated
häivähdys,0.164,-0.416,-0.454,tint
häkellyttävän,0.38,0.368,0.622,strikingly
häkeltynyt,-0.318,0.36,-0.304,overwhelmed
häkki,-0.368,-0.334,-0.296,cage
hälventää,-0.224,-0.196,-0.178,dispel
hälyttävä,-0.592,0.78,0.17,alarming
hälytys,-0.518,0.764,0.396,alarm
hämillään,-0.646,0.288,-0.386,abashed
hämmennys,-0.376,0.432,-0.568,bewilderment
hämmentynyt,-0.438,-0.02,-0.444,bemused
hämmentävä,-0.542,0.38,-0.556,confusing
hämmentää,-0.312,-0.116,-0.036,baffle
hämmästynyt,0.02,0.55,0.148,astonished
hämmästys,0.36,0.436,0.038,astonishment
hämmästyttävä,0.688,0.604,0.642,astonishing
hämmästyttävän,0.654,0.796,0.546,astonishingly
hämmästyttää,0.572,0.69,0.316,astonish
hämyinen,0.064,-0.448,0.038,dusk
hämähäkki,-0.542,0.138,-0.14,spider
hämärtynyt,-0.77,-0.288,-0.404,obscured
hämärtää,-0.464,-0.058,-0.59,blur
hämärä,-0.542,0.056,-0.352,dusky
hännällinen,-0.124,-0.284,-0.298,tailed
häpeissään,-0.688,0.176,-0.544,ashamed
häpeä,-0.88,0.34,-0.69,shame
häpeällinen,-0.92,0.36,-0.472,shameful
häpeällisyys,-0.646,0.352,-0.158,infamy
häpeämätön,-0.452,0.426,-0.186,shameless
häpeäpilkku,-0.27,-0.392,-0.554,blot
häpäiseminen,-0.75,0.666,0.128,desecration
häpäisevä,-0.708,0.472,-0.102,sacrilegious
häpäisty,-0.858,0.322,-0.5,disgraced
häpäistä,-0.85,0.058,-0.29,discredit
härkä,-0.166,-0.208,-0.176,ox
härkäpäinen,-0.542,0.48,0.032,bullheaded
härkäsammakko,-0.312,-0.038,-0.156,bullfrog
härkätaistelija,-0.104,0.588,0.328,bullfighter
härkätarha,-0.04,0.098,0.0,bullpen
härnätä,-0.366,0.58,-0.136,tease
härnääjä,0.02,0.116,0.068,teaser
härski,-0.9,0.49,-0.304,obscene
härveli,-0.104,0.18,-0.018,contraption
häränkyljys,0.204,-0.272,-0.164,porterhouse
hässäkkä,-0.646,0.48,-0.022,hassle
hätiköinti,-0.244,0.49,0.0,haste
hätkähdyttävä,0.5,0.536,0.66,startling
hätkähdyttää,-0.166,0.03,-0.236,faze
hätyytellä,0.04,-0.182,-0.22,harry
hätä,-0.6,0.8,0.142,emergency
hätäinen,-0.372,0.612,-0.214,hurried
hätäisesti,-0.458,0.218,0.218,hastily
hätävara,-0.042,0.222,-0.222,makeshift
hätääntynyt,-0.58,0.78,0.254,frantic
häveliäs,-0.306,-0.34,-0.574,coy
hävitetty,-0.76,0.088,-0.472,devastated
hävittäjä,-0.834,0.66,0.086,destroyer
hävittäminen,-0.73,0.216,-0.208,disposal
hävittää,-0.48,0.38,0.372,eradicate
hävitys,-0.646,0.244,-0.206,obliteration
hävitä,-0.528,-0.04,-0.306,vanish
häviäjä,-0.834,0.02,-0.69,loser
häviämätön,0.544,0.462,0.706,indestructible
hävyttömyys,-0.66,0.306,-0.16,impertinence
hävytön,-0.396,0.208,-0.076,impudent
häämatka,0.958,0.356,0.052,honeymoon
häät,0.75,0.604,0.284,wedding
häätää,-0.916,0.264,-0.246,evict
häätö,-0.63,0.462,-0.09,eviction
hökkeli,-0.208,-0.15,-0.322,shack
hölkkääjä,-0.166,0.02,-0.152,jogger
hölkätä,0.02,0.416,0.038,jog
höllä,-0.14,-0.198,-0.4,lax
hölmö,-0.376,-0.038,-0.278,goon
hölynpöly,-0.306,0.02,-0.23,poppycock
höperö,-0.25,0.238,-0.452,batty
höppänä,-0.298,-0.076,-0.142,divvy
höpsähtänyt,-0.042,-0.208,-0.48,gaga
höpsö,-0.232,-0.302,-0.678,silly
hörppiä,-0.146,0.056,-0.356,swill
hössötys,-0.188,0.752,-0.04,fuss
höyhenpeite,0.312,-0.428,-0.432,plumage
höyhenpeitteinen,-0.124,-0.424,-0.572,feathered
höylääminen,0.0,-0.062,-0.294,shaving
höyry,-0.062,-0.174,-0.158,steam
höyryalus,-0.062,-0.02,0.138,steamship
höyryinen,-0.042,0.076,-0.11,steamy
höyryjyrä,-0.208,0.134,0.334,steamroller
höyrykattila,0.122,0.18,0.018,boiler
höyrylaiva,0.416,0.0,0.266,steamboat
höyrytin,0.02,-0.116,0.056,steamer
höyryävä,0.184,0.106,-0.196,steaming
ibuprofeeni,-0.104,-0.146,0.008,ibuprofen
idea,0.5,0.076,0.408,idea
idealismi,0.27,-0.128,0.378,idealism
idealisti,0.632,0.02,0.604,idealist
idealistinen,0.624,-0.062,0.51,idealistic
identiteetti,0.326,-0.28,0.56,identity
identtinen,0.27,-0.24,0.054,identical
identtisesti,0.334,-0.146,-0.026,identically
ideologia,0.146,-0.312,0.384,ideology
idiomaattinen,0.062,-0.142,0.032,idiomatic
idiootti,-0.828,0.134,-0.774,idiot
idioottimainen,-0.792,0.24,-0.66,idiotic
idioottimaisuus,-0.776,0.27,-0.726,idiocy
idioottivarma,-0.042,-0.032,0.0,foolproof
idoli,0.368,0.61,0.706,idol
idyllinen,0.142,-0.212,0.186,idyllic
ies,-0.438,0.24,0.164,yoke
iglu,0.138,-0.396,-0.31,igloo
iguaani,0.042,-0.53,-0.418,iguana
ihailija,0.592,0.44,0.3,admirer
ihailla,0.734,0.384,0.408,admire
ihailtava,0.858,0.2,0.74,admirable
ihailtu,0.834,0.12,0.63,admired
ihailu,0.938,0.166,0.452,admiration
ihan,0.46,-0.26,0.38,completely
ihana,0.942,0.552,0.66,wonderful
ihannoida,0.88,0.182,0.322,glorify
ihannointi,0.642,0.082,0.634,glorification
ihannoitu,0.73,0.14,0.772,glorified
ihanteellinen,0.604,-0.126,0.472,ideal
ihastunut,0.49,0.204,0.23,enthralled
ihastus,0.688,0.49,0.06,infatuation
ihastuttava,0.812,0.26,0.538,attractive
ihme,0.834,0.214,0.612,miracle
ihmeellinen,0.75,0.412,0.624,miraculous
ihmeellisesti,0.936,0.416,0.528,marvelously
ihmelapsi,0.624,0.408,0.648,prodigy
ihmelääke,-0.16,-0.146,0.226,panacea
ihmetys,0.858,0.358,0.59,wonderment
ihminen,0.534,-0.372,0.21,human
ihmiset,0.208,-0.2,0.0,people
ihmishahmo,0.376,-0.344,0.018,figure
ihmiskunta,0.77,-0.212,0.428,humankind
ihmislauma,-0.408,0.576,0.134,mob
ihmisoikeudet,0.584,0.118,0.46,humanrights
ihmissuhde,0.734,0.132,0.178,relationship
ihmissusi,-0.53,0.622,0.182,werewolf
ihmisystävällinen,0.408,-0.074,0.246,philanthropist
ihmisystävällisyys,0.49,-0.176,0.602,philanthropy
ihmisääni,0.188,-0.314,0.056,voice
iho,0.138,-0.3,-0.21,skin
ihonalainen,-0.208,-0.112,-0.248,subcutaneous
ihonväri,0.042,0.04,-0.24,complexion
ihotautilääkäri,0.062,-0.284,0.056,dermatologist
ihotautioppi,-0.156,0.0,0.112,dermatology
ihottuma,-0.562,0.64,-0.018,rash
iik,-0.416,0.058,-0.314,eek
iilimato,-0.5,0.246,-0.464,leech
iiris,0.416,-0.45,-0.24,iris
iki-ihastunut,0.816,0.416,0.51,overjoyed
ikimuistoinen,-0.346,-0.062,-0.092,immemorial
ikionnellinen,0.286,0.062,-0.038,overthemoon
ikivihreä,0.458,-0.058,0.092,evergreen
ikkuna,0.084,-0.448,-0.23,window
ikkunalauta,-0.142,-0.452,-0.134,windowsill
ikoni,0.098,-0.302,-0.17,icon
ikoninen,0.166,0.074,0.4,iconic
ikonografia,0.204,-0.236,0.306,iconography
ikuinen,0.708,-0.182,0.686,eternal
ikuisesti,0.354,-0.1,-0.194,evermore
ikuistaa,-0.206,0.176,0.576,perpetuate
ikuisuus,0.53,0.04,0.822,eternity
ikä,0.122,-0.548,-0.004,age
ikävystyminen,-0.666,-0.722,-0.49,boredom
ikävystyttävä,-0.792,-0.188,-0.518,tedious
ikävä,-0.612,-0.76,-0.63,dull
ikääntyminen,-0.572,-0.49,-0.432,aging
ilahduttaa,0.674,0.078,0.588,gratify
ilahduttava,0.714,0.212,0.552,gratifying
ilahtunut,0.876,0.328,0.37,delighted
iljettävä,-0.76,0.462,-0.036,abominable
ilkeys,-0.796,0.388,-0.264,meanness
ilkeä,-0.77,0.24,-0.472,nasty
ilkikurinen,-0.122,0.608,-0.056,mischievous
ilkivalta,-0.834,0.808,0.018,vandalism
illallinen,0.416,-0.142,0.104,supper
illallisaika,0.584,-0.224,-0.078,suppertime
illuusio,0.124,-0.02,-0.226,illusion
ilma,0.416,-0.674,-0.146,air
ilma-alus,0.292,0.288,0.382,aircraft
ilmaannousu,0.51,0.768,0.252,takeoff
ilmaantua,0.204,0.188,0.462,emerge
ilmailu,0.416,0.292,0.482,aviation
ilmainen,0.592,0.02,-0.166,gratis
ilmaiseva,0.02,0.02,0.182,indicative
ilmaisin,-0.082,0.26,0.448,detector
ilmaislahja,0.592,0.192,0.0,freebie
ilmaista,0.52,0.246,0.382,express
ilmaisu,0.58,0.3,0.442,expression
ilmaisutyyli,-0.122,-0.254,0.358,diction
ilmalaiva,0.084,-0.056,0.058,airship
ilmalukko,-0.204,0.04,-0.106,airlock
ilmankosteus,-0.072,-0.254,-0.266,humidity
ilmanvaihto,0.438,-0.098,0.136,ventilation
ilmapallo,0.458,-0.51,-0.37,balloon
ilmapiiri,0.208,-0.4,0.12,atmosphere
ilmasilta,0.146,0.244,0.284,airlift
ilmassa,0.084,0.038,-0.23,airborne
ilmasto,0.27,-0.52,-0.034,climate
ilmastointi,-0.12,-0.064,0.234,conditioning
ilmastotiede,0.062,-0.266,0.082,climatology
ilmatiivis,-0.042,-0.238,0.14,airtight
ilmatila,0.124,0.02,0.28,airspace
ilmatorjuntatuli,-0.22,0.2,0.2,flak
ilmatyynyalus,0.082,0.308,0.176,hovercraft
ilmavaivat,-0.58,0.264,-0.314,flatulence
ilme,0.27,-0.12,0.38,countenance
ilmeikäs,0.51,0.448,0.37,expressive
ilmeinen,0.25,-0.328,0.17,obvious
ilmeisesti,0.062,-0.18,-0.148,apparently
ilmentymä,0.166,0.5,0.31,manifestation
ilmentää,0.47,0.012,0.566,exemplify
ilmestys,-0.188,0.146,0.272,apparition
ilmestyä,0.47,0.012,0.134,appear
ilmetä,0.5,0.164,0.45,arise
ilmiantaja,0.042,0.156,0.16,informer
ilmiliekeissä,-0.52,0.694,0.05,ablaze
ilmiö,0.25,0.442,0.696,phenomenon
ilmiömäinen,0.83,0.5,0.836,phenomenal
ilmoitella,-0.224,-0.116,0.0,placard
ilmoittaa,0.286,-0.058,0.146,notify
ilmoittaja,0.208,0.224,0.438,informant
ilmoittamaton,-0.52,0.176,-0.418,unannounced
ilmoittautua,-0.02,-0.176,0.308,register
ilmoittautuminen,0.334,-0.218,0.396,enrollment
ilmoitus,0.458,-0.018,-0.036,announcement
ilmoitus,0.292,-0.184,-0.018,notice
ilo,0.96,0.648,0.588,joy
iloinen,0.98,0.44,0.392,cheerful
iloisuus,0.938,0.604,0.35,cheerfulness
iloita,0.654,0.3,0.396,rejoice
ilomielinen,0.898,0.314,-0.028,cheery
ilonaihe,0.898,0.332,0.294,delight
ilonpilaaja,-0.644,0.1,-0.352,killjoy
ilonpito,0.562,0.728,0.076,frolic
ilotalo,-0.6,0.86,-0.076,whorehouse
iloton,-0.592,-0.254,-0.666,cheerless
ilotulitus,0.47,0.726,0.158,fireworks
ilotulitusraketti,0.572,0.808,0.186,firework
ilta,-0.084,-0.63,-0.364,evening
iltahämärä,0.244,-0.318,0.266,twilight
iltaisin,0.346,-0.18,-0.052,nightly
iltamat,0.458,0.384,0.156,soiree
iltapäivä,0.066,-0.224,-0.322,afternoon
ilveilijä,-0.312,0.302,-0.42,buffoon
ilves,0.02,0.18,0.134,lynx
imaami,0.054,-0.326,0.078,imam
imarrella,0.042,-0.164,-0.396,flatter
imarreltu,0.73,0.216,0.416,flattered
imartelu,-0.06,0.15,-0.192,flattery
imbesilli,-0.836,0.138,-0.48,imbecile
imeminen,-0.546,0.056,-0.246,sucking
imeväinen,0.192,0.116,0.036,suckling
imeytyminen,0.218,-0.156,-0.108,absorption
imeä,-0.312,0.412,-0.246,suck
imijä,-0.47,-0.214,-0.592,sucker
imitaattori,0.114,0.174,-0.218,mimic
